title,normalized_title,type,authors,journal,year,library
"Tl’azt’en Learning Circle: Information Technology, Health and Cultural Preservation",tlazten learning circle information technology health and cultural preservation,Journal Article,"Jarvis-Selinger, Sandra; Ho, Kendall; Novak Lauscher, Helen; Bell, Brandi",The Journal of Community Informatics,2009,Portal
"COLLABORATION GEOGRAPHIES: Native-White Partnerships During the Re-settlement of Ootsa Lake, British Columbia, 1900-52",collaboration geographies nativewhite partnerships during the resettlement of ootsa lake british columbia 190052,Journal Article,"Larsen, Soren",BC Studies; Vancouver,2003,Portal
"Narrating Aboriginality On-Line: Digital Storytelling, Identity and Healing",narrating aboriginality online digital storytelling identity and healing,Journal Article,"Adelson, Naomi; Olding, Michelle",The Journal of Community Informatics,2012,Portal
Steamboat Around the Bend: The Saga of the Sternwheeler Enterprise,steamboat around the bend the saga of the sternwheeler enterprise,Journal Article,"Affleck, Edward L.",B.C. Historical News,2003,Portal
Big expectations for small forest tenures in British Columbia,big expectations for small forest tenures in british columbia,Journal Article,"Ambus, Lisa; Davis-Case, D'Arcy; Tyler, Stephen",Journal of Ecosystems and Management,2007,Portal
"TREK geological mapping project, year 2: update on bedrock geology and mineralization in the TREK project area, central British Columbia (parts of NTS 093B, C, F, G)",trek geological mapping project year 2 update on bedrock geology and mineralization in the trek project area central british columbia parts of nts 093b c f g,Journal Article,"Angen, J. J.; Logan, J. M.; Hart, C. J. R.; Kim, R.",Geoscience BC Summary of Activities,2015,Portal
Creating Transformative Aboriginal Health Research: The BC ACADRE at Three Years,creating transformative aboriginal health research the bc acadre at three years,Journal Article,"Archibald, Jo-ann; Jovel, Eduardo; McCormick, Rod; Vedan, Richard; Thira, Darien",Canadian Journal of Native Education; Edmonton,2006,Portal
"“There’s a treatment centre where the residential school used to be”: Alcoholism, Acculturation, and Barriers to Indigenous Health in Eden Robinson’s Monkey Beach",theres a treatment centre where the residential school used to be alcoholism acculturation and barriers to indigenous health in eden robinsons monkey beach,Journal Article,"Fabre, Cara",Studies in Canadian Literature / Études en littérature canadienne,2013,Portal
Plants in language and classification among BC First Nations,plants in language and classification among bc first nations,Journal Article,"Turner, Nancy J.; Burton, Carla; Eijk, Jan Van",BC Studies: The British Columbian Quarterly,2013,Portal
Predicting the risk of wet ground areas in the Vanderhoof Forest District: Project description and progress report,predicting the risk of wet ground areas in the vanderhoof forest district project description and progress report,Journal Article,"Rex, John; Dubé, Stephane",Journal of Ecosystems and Management,2006,Portal
Snow accumulation and ablation in a beetle-killed pine stand in Northern Interior British Columbia,snow accumulation and ablation in a beetlekilled pine stand in northern interior british columbia,Journal Article,"Boon, Sarah",Journal of Ecosystems and Management,2007,Portal
"NATMAP: Nechako project, central British Columbia",natmap nechako project central british columbia,Journal Article,"McMillan, W. J.; Struik, L. C.",Geological fieldwork,1995,Portal
"Nechako NATMAP Project, central British Columbia, 1998 Overview",nechako natmap project central british columbia 1998 overview,Journal Article,"MacIntyre, D. G.; Struik, L. C.",Geological fieldwork,1998,Portal
Community Climate Change Adaptation based on Past Trends and Future Projections,community climate change adaptation based on past trends and future projections,Journal Article,"Rodenhuis, D. R.; Werner, A. T.; Picketts, I. M.; Murdock, T. Q.",AGU Fall Meeting Abstracts,2009,Portal
On the performance of updating Stochastic Dynamic Programming policy using Ensemble Streamflow Prediction in a snow-covered region,on the performance of updating stochastic dynamic programming policy using ensemble streamflow prediction in a snowcovered region,Journal Article,"Martin, A.; Pascal, C.; Leconte, R.",AGU Fall Meeting Abstracts,2014,Portal
"In the North, For the North: Post-Secondary Education in the Provincial North",in the north for the north postsecondary education in the provincial north,Journal Article,"Morrison, William R.",Nothern Review,2014,Portal
Canada's Large Hydro: Progressing Toward New Megawatts,canadas large hydro progressing toward new megawatts,Journal Article,"Beggs, S. L.",Hydro Review; (United States),1992,Portal
Prevalence and incidence of hepatitis C virus infection among Aboriginal young people who use drugs: results from the Cedar Project,prevalence and incidence of hepatitis c virus infection among aboriginal young people who use drugs results from the cedar project,Journal Article,"Craib, Kevin JP; Spittal, Patricia M; Patel, Sheetal H; Christian, Wayne M; Moniruzzaman, Akm; Pearce, Margo E; Demerais, Lou; Sherlock, Christopher; Schechter, Martin T",Open Medicine,2009,Portal
"Cooperative forest planning using criteria, indicators and systems analysis",cooperative forest planning using criteria indicators and systems analysis,Conference Proceedings,"Karjala, M; Dewhurst, S; Grainger, S",,2003,Portal
Combined assimilation of streamflow and snow water equivalent for mid-term ensemble streamflow forecasts in snow-dominated regions,combined assimilation of streamflow and snow water equivalent for midterm ensemble streamflow forecasts in snowdominated regions,Journal Article,"Bergeron, Jean M.; Trudel, Mélanie; Leconte, Robert",Hydrology and Earth System Sciences; Katlenburg-Lindau,2016,Portal
Assimilation of water temperature and discharge data for ensemble water temperature forecasting,assimilation of water temperature and discharge data for ensemble water temperature forecasting,Journal Article,"Ouellet-Proulx, Sébastien; Chimi Chiadjeu, Olivier; Boucher, Marie-Amélie; St-Hilaire, André",Journal of Hydrology,2017,Portal
Variability and trends in runoff in the rivers of British Columbia's Coast and Insular Mountains,variability and trends in runoff in the rivers of british columbias coast and insular mountains,Journal Article,"Hernández-Henríquez, Marco A.; Sharma, Aseem R.; Déry, Stephen J.",Hydrological Processes,2017,Portal
"Is the health of British Columbia's forests being influenced by climate change? If so, was this predictable?",is the health of british columbias forests being influenced by climate change if so was this predictable,Journal Article,"Woods, Alex",Canadian Journal of Plant Pathology,2011,Portal
Assessing Use of a Standardized Allergy History Questionnaire for Patients with Reported Allergy to Penicillin,assessing use of a standardized allergy history questionnaire for patients with reported allergy to penicillin,Journal Article,"Manning, Jessica; Pammett, Robert T; Hamour, Abu Obeida; Enemark, Aleisha; Barr, Barret",The Canadian Journal of Hospital Pharmacy,2021,Portal
"Stratigraphic and Lithological Constraints of Late Cretaceous Volcanic Rocks in the TREK Project Area, Central British Columbia (NTS 093E)",stratigraphic and lithological constraints of late cretaceous volcanic rocks in the trek project area central british columbia nts 093e,Journal Article,"Kim, R. S.; Hart, C. J. R.; Angen, J. J.; Logan, J. M.",Geoscience BC Summary of Activities,2015,Portal
"Crime Seasonality across Multiple Jurisdictions in British Columbia, Canada",crime seasonality across multiple jurisdictions in british columbia canada,Journal Article,"Linning, Shannon J.; Andresen, Martin A.; Ghaseminejad, Amir H.; Brantingham, Paul J.",Canadian Journal of Criminology and Criminal Justice,2017,Portal
Unsettling a settler society,unsettling a settler society,Journal Article,"Sandercock, Leonie; Attili, Giovanni",Real Social Science: Applied Phronesis,2012,Portal
The politics of refusal: Aboriginal sovereignty and the Northern Gateway pipeline,the politics of refusal aboriginal sovereignty and the northern gateway pipeline,Journal Article,"Wood, Patricia Burke; Rossiter, David A.",The Canadian Geographer / Le Géographe canadien,2016,Portal
Whitewater Devils: Adventure on Wild Waters,whitewater devils adventure on wild waters,Journal Article,"Dalton, Anthony",BC Studies,2012,Portal
Lands and Resources for Jobs: How Aboriginal Peoples Strategically Use Environmental Assessments to Advance Community Employment Aims,lands and resources for jobs how aboriginal peoples strategically use environmental assessments to advance community employment aims,Journal Article,"McCreary, Tyler; Mills, Suzanne; St-Amand, Anne",Canadian Public Policy,2016,Portal
Can Nechako River be saved without killing industry?,can nechako river be saved without killing industry,Journal Article,"Bennett, Nelson",Business in Vancouver,2021,Portal
"Sediment-associated organopollutants, metals and nutrients in the Nechako River, British Columbia: a current study with a synthesis of historical data",sedimentassociated organopollutants metals and nutrients in the nechako river british columbia a current study with a synthesis of historical data,Journal Article,"Owens, Philip N.; Gateuille, David J.; Petticrew, Ellen L.; Booth, Barry P.; French, Todd D.",Canadian Water Resources Journal / Revue canadienne des ressources hydriques,2019,Portal
Evidence for temperature-dependent sex determination in sockeye salmon (Oncorhynchus nerka),evidence for temperaturedependent sex determination in sockeye salmon oncorhynchus nerka,Journal Article,"Craig, J Kevin; Foote, Chris J; Wood, Chris C",Canadian Journal of Fisheries and Aquatic Sciences,1996,Portal
Searching for Added Value in Simulating Climate Extremes with a High-Resolution Regional Climate Model over Western Canada. II: Basin-Scale Results,searching for added value in simulating climate extremes with a highresolution regional climate model over western canada ii basinscale results,Journal Article,"Curry, CL; Tencer, B; Whan, K; Weaver, AJ; Giguere, M; Wiebe, E",ATMOSPHERE-OCEAN,2016,Portal
The Cedar project: prevalence and correlates of HIV infection among young Aboriginal people who use drugs in two Canadian cities,the cedar project prevalence and correlates of hiv infection among young aboriginal people who use drugs in two canadian cities,Journal Article,"Spittal, Patricia M.; Craib, Kevin J.P.; Teegee, Mary; Baylis, Catherine; Christian, Wayne M.; Moniruzzaman, A.K.M.; Schechter, Martin T.",International Journal of Circumpolar Health,2007,Portal
